"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"585",70947.7040184737,58111.1240391075,83784.2839978398,51315.8490696374,90579.5589673099
"586",70947.7040184733,58081.6995817958,83813.7084551508,51270.8482455225,90624.5597914241
"587",70947.7040184736,58052.342264628,83843.0657723192,51225.9501033963,90669.4579335509
"588",70947.7040184734,58023.0516300924,83872.3564068545,51181.1539435558,90714.2540933911
"589",70947.7040184735,57993.8272258518,83901.5808110952,51136.4590742105,90758.9489627365
"590",70947.7040184735,57964.6686046589,83930.7394322881,51091.864811355,90803.5432255921
"591",70947.7040184734,57935.575324278,83959.8327126688,51047.3704786478,90848.037558299
"592",70947.7040184736,57906.5469474064,83988.8610895407,51002.9754072924,90892.4326296547
"593",70947.7040184734,57877.5830415971,84017.8249953498,50958.678935918,90936.7291010288
"594",70947.7040184735,57848.6831791847,84046.7248577624,50914.480410467,90980.92762648
"595",70947.7040184735,57819.8469372106,84075.5610997363,50870.3791840801,91025.0288528669
"596",70947.7040184735,57791.0738973519,84104.334139595,50826.3746169874,91069.0334199596
"597",70947.7040184735,57762.3636458497,84133.0443910973,50782.4660763993,91112.9419605477
"598",70947.7040184735,57733.71577344,84161.6922635069,50738.6529364006,91156.7551005463
"599",70947.7040184735,57705.1298752858,84190.2781616612,50694.9345778466,91200.4734591004
"600",70947.7040184735,57676.6055509101,84218.8024860368,50651.3103882605,91244.0976486865
"601",70947.7040184735,57648.1424041306,84247.2656328164,50607.7797617337,91287.6282752133
"602",70947.7040184735,57619.7400429953,84275.6679939516,50564.3420988276,91331.0659381194
"603",70947.7040184735,57591.3980797199,84304.009957227,50520.9968064769,91374.41123047
"604",70947.7040184735,57563.1161306257,84332.2919063213,50477.7432978958,91417.6647390512
"605",70947.7040184735,57534.8938160788,84360.5142208682,50434.5809924846,91460.8270444623
"606",70947.7040184735,57506.7307604314,84388.6772765156,50391.5093157394,91503.8987212076
"607",70947.7040184735,57478.6265919627,84416.7814449843,50348.5276991622,91546.8803377847
"608",70947.7040184735,57450.580942822,84444.8270941249,50305.6355801741,91589.7724567728
"609",70947.7040184735,57422.5934489726,84472.8145879743,50262.8324020289,91632.575634918
