"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"462",106283.191266268,96630.2817679333,115936.100764603,91520.3401478107,121046.042384726
"463",106663.677532851,96865.9354108268,116461.419654876,91679.3240309939,121648.031034709
"464",107044.163799434,97100.8150963794,116987.512502489,91837.1242485685,122251.2033503
"465",107424.650066017,97334.9257002551,117514.37443178,91993.7482572192,122855.551874816
"466",107805.1363326,97568.2719933267,118042.000671874,92149.2033533662,123461.069311835
"467",108185.622599183,97800.8586455389,118570.386552828,92303.4966790738,124067.748519293
"468",108566.108865767,98032.690229579,119099.527501954,92456.6352276635,124675.58250387
"469",108946.59513235,98263.7712243675,119629.419040332,92608.625849053,125284.564415646
"470",109327.081398933,98494.1060183785,120160.056779487,92759.4752548346,125894.687543031
"471",109707.567665516,98723.6989128011,120691.43641823,92909.1900231093,126505.945307922
"472",110088.053932099,98952.5541245502,121223.553739647,93057.7766030917,127118.331261106
"473",110468.540198682,99180.6757891348,121756.404608228,93205.2413194972,127731.839077866
"474",110849.026465265,99408.067963394,122289.984967135,93351.5903767257,128346.462553804
"475",111229.512731848,99634.734628106,122824.290835589,93496.8298628519,128962.195600843
"476",111609.998998431,99860.6796904783,123359.318306383,93640.9657534346,129579.032243427
"477",111990.485265014,100085.906986527,123895.063543501,93784.0039151529,130196.966614875
"478",112370.971531597,100310.420283346,124431.522779848,93925.9501092818,130815.992953912
"479",112751.45779818,100534.223281283,124968.692315077,94066.8099950131,131436.105601347
"480",113131.944064763,100757.319616013,125506.568513513,94206.5891326322,132057.298996894
"481",113512.430331346,100979.712860526,126045.147802166,94345.2929865571,132679.567676135
"482",113892.916597929,101201.406527032,126584.426668825,94482.9269282478,133302.90626761
"483",114273.402864512,101422.40406878,127124.401660244,94619.4962389925,133927.309490031
"484",114653.889131095,101642.708881804,127665.069380386,94755.0061125774,134552.772149613
"485",115034.375397678,101862.324306596,128206.42648876,94889.461657846,135179.28913751
"486",115414.861664261,102081.253629714,128748.469698808,95022.867901153,135806.855427369
"487",115795.347930844,102299.500085317,129291.195776371,95155.2297887194,136435.466072969
"488",116175.834197427,102517.066856648,129834.601538207,95286.552188893,137065.116205961
"489",116556.32046401,102733.957077447,130378.683850573,95416.8398943184,137695.801033702
"490",116936.806730593,102950.173833322,130923.439627864,95546.0976240231,138327.515837163
"491",117317.292997176,103165.720163053,131468.865831299,95674.330025421,138960.255968931
"492",117697.779263759,103380.599059855,132014.959467663,95801.5416762399,139594.016851279
"493",118078.265530342,103594.81347259,132561.717588094,95927.7370863749,140228.79397431
"494",118458.751796925,103808.366306933,133109.137286917,96052.9206996725,140864.582894178
"495",118839.238063508,104021.260426496,133657.215700521,96177.0968956474,141501.379231369
"496",119219.724330091,104233.498653904,134205.950006278,96300.2699911364,142139.178669046
"497",119600.210596674,104445.083771847,134755.337421502,96422.4442418919,142777.976951457
"498",119980.696863257,104656.018524073,135305.375202442,96543.6238441171,143417.769882398
"499",120361.18312984,104866.305616363,135856.060643318,96663.8129359465,144058.553323734
"500",120741.669396423,105075.947717463,136407.391075384,96783.0155988744,144700.323193973
"501",121122.155663006,105284.947459984,136959.363866029,96901.235859132,145343.075466881
"502",121502.64192959,105493.307441273,137511.976417906,97018.4776890177,145986.806170161
"503",121883.128196173,105701.030224249,138065.226168096,97134.7450081811,146631.511384164
"504",122263.614462756,105908.118338221,138619.11058729,97250.0416848631,147277.187240648
"505",122644.100729339,106114.574279664,139173.627179013,97364.371537094,147923.829921583
"506",123024.586995922,106320.40051298,139728.773478863,97477.7383338524,148571.435657991
"507",123405.073262505,106525.599471231,140284.547053778,97590.1457961843,149220.000728825
"508",123785.559529088,106730.173556846,140840.94550133,97701.5975982864,149869.521459889
